MS_SubClass,MS_Zoning,Lot_Frontage,Lot_Area,Street,Alley,Lot_Shape,Land_Contour,Utilities,Lot_Config,Land_Slope,Neighborhood,Condition_1,Condition_2,Bldg_Type,House_Style,Overall_Qual,Overall_Cond,Year_Built,Year_Remod_Add,Roof_Style,Roof_Matl,Exterior_1st,Exterior_2nd,Mas_Vnr_Type,Mas_Vnr_Area,Exter_Qual,Exter_Cond,Foundation,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,BsmtFin_Type_2,BsmtFin_SF_2,Bsmt_Unf_SF,Total_Bsmt_SF,Heating,Heating_QC,Central_Air,Electrical,First_Flr_SF,Second_Flr_SF,Low_Qual_Fin_SF,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,Kitchen_Qual,TotRms_AbvGrd,Functional,Fireplaces,Fireplace_Qu,Garage_Type,Garage_Yr_Blt,Garage_Finish,Garage_Cars,Garage_Area,Garage_Qual,Garage_Cond,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,Three_Ssn_Porch,Screen_Porch,Pool_Area,Pool_QC,Fence,Misc_Feature,Misc_Val,Mo_Sold,Yr_Sold,Sale_Type,Sale_Condition,SalePrice,address,Dist_from_Center_ft
20,RL,141.0,31770,Pave,None,2,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,BrkFace,Plywood,Stone,112.0,3,3,CBlock,3,4,4,4,639.0,1,0.0,441.0,1080.0,GasA,2,1,SBrkr,1656,0,0,1656,1.0,0.0,1,0,3,1,3,7,7,2,4,Attchd,1960.0,3,2.0,528.0,3,3,1,210,62,0,0,0,0,0,0,None,0,5,2010,WD,Normal,215000.0,3126 NORTHWOOD DR,11412.513275042797
20,RH,80.0,11622,Pave,None,3,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5,6,1961,1961,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,3,1,3,468.0,2,144.0,270.0,882.0,GasA,3,1,SBrkr,896,0,0,896,0.0,0.0,1,0,2,1,3,5,7,0,0,Attchd,1961.0,1,1.0,730.0,3,3,2,140,0,0,0,120,0,0,3,None,0,6,2010,WD,Normal,105000.0,3109 GROVE AVE,11037.443793370509
20,RL,81.0,14267,Pave,None,2,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,108.0,3,3,CBlock,3,3,1,5,923.0,1,0.0,406.0,1329.0,GasA,3,1,SBrkr,1329,0,0,1329,0.0,0.0,1,1,3,1,4,6,7,0,0,Attchd,1958.0,1,1.0,312.0,3,3,2,393,36,0,0,0,0,0,0,Gar2,12500,6,2010,WD,Normal,172000.0,630 RIVER OAK DR,10915.421417250927
20,RL,93.0,11160,Pave,None,3,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,5,1968,1968,Hip,CompShg,BrkFace,BrkFace,None,0.0,4,3,CBlock,3,3,1,5,1065.0,1,0.0,1045.0,2110.0,GasA,5,1,SBrkr,2110,0,0,2110,1.0,0.0,2,1,3,1,5,8,7,2,3,Attchd,1968.0,3,2.0,522.0,3,3,2,0,0,0,0,0,0,0,0,None,0,4,2010,WD,Normal,244000.0,3004 NORTHWOOD DR,10469.026153775749
60,RL,74.0,13830,Pave,None,2,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,1,6,791.0,1,0.0,137.0,928.0,GasA,4,1,SBrkr,928,701,0,1629,0.0,0.0,2,1,3,1,3,6,7,1,3,Attchd,1997.0,3,2.0,482.0,3,3,2,212,34,0,0,0,0,0,3,None,0,3,2010,WD,Normal,189900.0,4025 BERKSHIRE AVE,15331.047899588066
60,RL,78.0,9978,Pave,None,2,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,20.0,3,3,PConc,3,3,1,6,602.0,1,0.0,324.0,926.0,GasA,5,1,SBrkr,926,678,0,1604,0.0,0.0,2,1,3,1,4,7,7,1,4,Attchd,1998.0,3,2.0,470.0,3,3,2,360,36,0,0,0,0,0,0,None,0,6,2010,WD,Normal,195500.0,4011 BERKSHIRE AVE,15191.87764679446
120,RL,41.0,4920,Pave,None,3,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2001,2001,Gable,CompShg,CemntBd,CemntBd,None,0.0,4,3,PConc,4,3,2,6,616.0,1,0.0,722.0,1338.0,GasA,5,1,SBrkr,1338,0,0,1338,1.0,0.0,2,0,2,1,4,6,7,0,0,Attchd,2001.0,3,2.0,582.0,3,3,2,0,0,170,0,0,0,0,0,None,0,4,2010,WD,Normal,213500.0,1818 WATERBURY CIR,15237.714612468995
120,RL,43.0,5005,Pave,None,2,HLS,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1992,1992,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,PConc,4,3,1,5,263.0,1,0.0,1017.0,1280.0,GasA,5,1,SBrkr,1280,0,0,1280,0.0,0.0,2,0,2,1,4,5,7,0,0,Attchd,1992.0,2,2.0,506.0,3,3,2,0,82,0,0,144,0,0,0,None,0,1,2010,WD,Normal,191500.0,4024 FLETCHER BLVD,14537.288126520354
120,RL,39.0,5389,Pave,None,2,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Gable,CompShg,CemntBd,CemntBd,None,0.0,4,3,PConc,4,3,1,6,1180.0,1,0.0,415.0,1595.0,GasA,5,1,SBrkr,1616,0,0,1616,1.0,0.0,2,0,2,1,4,5,7,1,3,Attchd,1995.0,2,2.0,608.0,3,3,2,237,152,0,0,0,0,0,0,None,0,3,2010,WD,Normal,236500.0,4131 STONE BROOKE RD,14602.440827887189
60,RL,60.0,7500,Pave,None,3,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3,3,1,1,0.0,1,0.0,994.0,994.0,GasA,4,1,SBrkr,1028,776,0,1804,0.0,0.0,2,1,3,1,4,7,7,1,3,Attchd,1999.0,3,2.0,442.0,3,3,2,140,60,0,0,0,0,0,0,None,0,6,2010,WD,Normal,189000.0,3814 BERKSHIRE AVE,14442.732013847577
